latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.625,73.125,583.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),surface_pressure (hPa),visibility (m),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%)
2025-04-12T00:00,17.7,55,8.6,16.7,0,0.00,0.00,0.00,940.8,24140.00,0,0,0
2025-04-12T01:00,17.4,54,8.0,16.3,0,0.00,0.00,0.00,941.2,24140.00,0,0,0
2025-04-12T02:00,18.7,49,7.8,17.6,0,0.00,0.00,0.00,941.4,24140.00,0,0,0
2025-04-12T03:00,22.4,39,7.8,21.7,0,0.00,0.00,0.00,942.7,24140.00,0,0,0
2025-04-12T04:00,25.6,31,7.2,24.4,0,0.00,0.00,0.00,943.5,24140.00,0,0,0
2025-04-12T05:00,27.9,26,6.7,27.4,0,0.00,0.00,0.00,944.1,24140.00,0,0,0
2025-04-12T06:00,29.7,25,7.6,30.0,0,0.00,0.00,0.00,944.6,24140.00,0,0,0
2025-04-12T07:00,30.9,23,7.4,31.4,0,0.00,0.00,0.00,944.7,24140.00,0,0,0
2025-04-12T08:00,31.7,22,7.4,32.2,0,0.00,0.00,0.00,944.0,24140.00,0,12,0
2025-04-12T09:00,32.1,21,7.1,32.4,0,0.00,0.00,0.00,943.0,24140.00,0,16,0
2025-04-12T10:00,32.2,21,7.1,31.5,0,0.00,0.00,0.00,941.9,24140.00,0,29,0
2025-04-12T11:00,32.0,22,7.6,30.3,0,0.00,0.00,0.00,941.3,24140.00,0,58,0
2025-04-12T12:00,31.2,24,8.3,30.0,0,0.00,0.00,0.00,941.6,24140.00,0,47,0
2025-04-12T13:00,30.3,26,8.6,29.0,0,0.00,0.00,0.00,941.8,24140.00,0,3,0
2025-04-12T14:00,28.0,32,9.8,27.3,0,0.00,0.00,0.00,942.1,24140.00,0,0,0
2025-04-12T15:00,26.1,37,10.3,25.6,0,0.00,0.00,0.00,943.1,24140.00,0,0,0
2025-04-12T16:00,24.2,43,10.9,23.8,0,0.00,0.00,0.00,943.5,24140.00,0,0,0
2025-04-12T17:00,22.6,48,11.1,22.1,0,0.00,0.00,0.00,943.6,24140.00,0,0,0
2025-04-12T18:00,22.8,46,10.6,22.1,0,0.00,0.00,0.00,942.8,24140.00,0,0,0
2025-04-12T19:00,22.2,47,10.4,21.5,0,0.00,0.00,0.00,943.1,24140.00,0,0,0
2025-04-12T20:00,21.6,49,10.4,20.9,0,0.00,0.00,0.00,942.9,24140.00,0,0,0
2025-04-12T21:00,20.9,51,10.4,20.2,0,0.00,0.00,0.00,943.0,24140.00,0,0,0
2025-04-12T22:00,20.5,52,10.3,19.7,0,0.00,0.00,0.00,942.6,24140.00,0,0,0
2025-04-12T23:00,20.1,54,10.5,19.4,0,0.00,0.00,0.00,943.1,24140.00,0,0,0
2025-04-13T00:00,20.0,55,10.7,19.4,0,0.00,0.00,0.00,942.9,24140.00,0,0,0
2025-04-13T01:00,19.6,56,10.6,18.9,0,0.00,0.00,0.00,943.7,24140.00,0,0,0
2025-04-13T02:00,20.9,54,11.3,20.5,0,0.00,0.00,0.00,944.3,24140.00,0,0,0
2025-04-13T03:00,24.8,44,11.8,24.9,0,0.00,0.00,0.00,945.5,24140.00,0,0,0
2025-04-13T04:00,27.4,36,11.0,26.9,0,0.00,0.00,0.00,946.7,24140.00,0,0,0
2025-04-13T05:00,29.2,32,10.8,29.7,0,0.00,0.00,0.00,946.6,24140.00,0,0,0
2025-04-13T06:00,30.3,31,11.3,31.6,0,0.00,0.00,0.00,946.9,24140.00,0,0,0
2025-04-13T07:00,31.9,27,10.6,33.1,0,0.00,0.00,0.00,946.4,24140.00,0,0,0
2025-04-13T08:00,33.1,24,9.8,33.8,0,0.00,0.00,0.00,945.9,24140.00,0,0,0
2025-04-13T09:00,33.7,21,8.4,33.8,0,0.00,0.00,0.00,945.2,24140.00,0,0,0
2025-04-13T10:00,33.9,20,7.8,33.2,0,0.00,0.00,0.00,944.1,24140.00,0,0,0
2025-04-13T11:00,33.7,20,7.7,32.0,0,0.00,0.00,0.00,943.5,24140.00,0,0,0
2025-04-13T12:00,33.0,23,9.1,31.9,0,0.00,0.00,0.00,943.4,24140.00,0,0,0
2025-04-13T13:00,32.0,24,8.9,30.9,0,0.00,0.00,0.00,943.4,24140.00,0,0,0
2025-04-13T14:00,29.8,31,10.8,29.6,0,0.00,0.00,0.00,943.6,24140.00,0,0,0
2025-04-13T15:00,27.3,37,11.3,27.1,0,0.00,0.00,0.00,943.9,24140.00,0,0,0
2025-04-13T16:00,25.3,42,11.5,24.9,0,0.00,0.00,0.00,944.3,24140.00,0,0,0
2025-04-13T17:00,24.5,43,11.1,24.0,0,0.00,0.00,0.00,944.3,24140.00,0,0,0
2025-04-13T18:00,23.6,43,10.3,22.9,0,0.00,0.00,0.00,944.2,24140.00,0,0,0
2025-04-13T19:00,23.0,45,10.5,22.4,0,0.00,0.00,0.00,943.4,24140.00,0,0,0
2025-04-13T20:00,22.4,47,10.6,21.9,0,0.00,0.00,0.00,943.2,24140.00,0,0,0
2025-04-13T21:00,21.8,49,10.6,21.3,0,0.00,0.00,0.00,942.6,24140.00,0,0,0
2025-04-13T22:00,21.3,50,10.5,20.8,0,0.00,0.00,0.00,942.4,24140.00,0,0,0
2025-04-13T23:00,20.9,52,10.7,20.4,0,0.00,0.00,0.00,942.0,24140.00,0,0,0
2025-04-14T00:00,20.9,52,10.7,20.4,0,0.00,0.00,0.00,942.5,24140.00,0,0,0
2025-04-14T01:00,20.5,55,11.2,20.2,0,0.00,0.00,0.00,942.6,24140.00,0,0,0
2025-04-14T02:00,22.0,55,12.5,22.2,0,0.00,0.00,0.00,943.5,24140.00,0,0,0
2025-04-14T03:00,25.4,47,13.3,26.0,0,0.00,0.00,0.00,944.1,24140.00,0,0,0
2025-04-14T04:00,28.1,40,13.3,28.3,0,0.00,0.00,0.00,945.4,24140.00,0,0,0
2025-04-14T05:00,29.9,33,11.9,30.4,0,0.00,0.00,0.00,945.6,24140.00,0,0,0
2025-04-14T06:00,31.1,31,12.0,32.6,0,0.00,0.00,0.00,946.4,24140.00,0,0,0
2025-04-14T07:00,32.5,29,12.2,34.5,0,0.00,0.00,0.00,945.5,24140.00,0,0,0
2025-04-14T08:00,33.7,27,12.1,35.7,0,0.00,0.00,0.00,945.0,24140.00,0,0,0
2025-04-14T09:00,34.5,26,12.2,36.1,0,0.00,0.00,0.00,944.1,24140.00,0,0,0
2025-04-14T10:00,34.8,27,13.1,36.0,0,0.00,0.00,0.00,943.3,24140.00,0,0,0
2025-04-14T11:00,34.7,27,13.0,35.0,0,0.00,0.00,0.00,942.3,24140.00,0,0,0
2025-04-14T12:00,34.8,26,12.5,34.6,0,0.00,0.00,0.00,942.4,24140.00,0,0,0
2025-04-14T13:00,33.8,25,11.1,33.5,0,0.00,0.00,0.00,942.3,24140.00,0,0,0
2025-04-14T14:00,31.6,33,13.4,32.4,0,0.00,0.00,0.00,942.6,24140.00,0,0,0
2025-04-14T15:00,30.2,35,13.1,30.7,0,0.00,0.00,0.00,942.9,24140.00,0,0,0
2025-04-14T16:00,26.9,45,14.0,27.3,0,0.00,0.00,0.00,943.4,24140.00,0,0,0
2025-04-14T17:00,25.3,53,15.1,26.0,0,0.00,0.00,0.00,943.8,24140.00,0,0,0
2025-04-14T18:00,25.3,51,14.4,25.7,0,0.00,0.00,0.00,943.9,24140.00,0,0,0
